0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15

0,1,0.16384
0,2,0.16384
0,3,0.1024
0,4,0.16384
0,5,0.1024
0,6,0.1024
0,7,0.064
0,8,0.16384
0,9,0.1024
0,10,0.1024
0,11,0.064
0,12,0.1024
0,13,0.064
0,14,0.064
0,15,0.04
1,0,0.098304
1,2,0.06144
1,3,0.016384
1,4,0.06144
1,5,0.016384
1,6,0.0384
1,7,0.01024
1,8,0.06144
1,9,0.016384
1,10,0.0384
1,11,0.01024
1,12,0.0384
1,13,0.01024
1,14,0.024
2,0,0.098304
2,1,0.06144
2,3,0.016384
2,4,0.06144
2,5,0.0384
2,6,0.016384
2,7,0.01024
2,8,0.06144
2,9,0.0384
2,10,0.016384
2,11,0.01024
2,12,0.0384
2,13,0.024
2,14,0.01024
3,0,0.036864
3,1,0.0098304
3,2,0.0098304
3,4,0.02304
3,8,0.02304
3,12,0.0144
4,0,0.098304
4,1,0.06144
4,2,0.06144
4,3,0.0384
4,5,0.016384
4,6,0.016384
4,7,0.01024
4,8,0.06144
4,9,0.0384
4,10,0.0384
4,11,0.024
4,12,0.016384
4,13,0.01024
4,14,0.01024
5,0,0.036864
5,1,0.0098304
5,2,0.02304
5,4,0.0098304
5,8,0.02304
5,10,0.0144
6,0,0.036864
6,1,0.02304
6,2,0.0098304
6,4,0.0098304
6,8,0.02304
6,9,0.0144
7,0,0.013824
7,8,0.00864
8,0,0.098304
8,1,0.06144
8,2,0.06144
8,3,0.0384
8,4,0.06144
8,5,0.0384
8,6,0.0384
8,7,0.024
8,9,0.016384
8,10,0.016384
8,11,0.01024
8,12,0.016384
8,13,0.01024
8,14,0.01024
9,0,0.036864
9,1,0.0098304
9,2,0.02304
9,4,0.02304
9,6,0.0144
9,8,0.0098304
10,0,0.036864
10,1,0.02304
10,2,0.0098304
10,4,0.02304
10,5,0.0144
10,8,0.0098304
11,0,0.013824
11,4,0.00864
12,0,0.036864
12,1,0.02304
12,2,0.02304
12,3,0.0144
12,4,0.0098304
12,8,0.0098304
13,0,0.013824
13,2,0.00864
14,0,0.013824
14,1,0.00864
